sample_id,Diet,Sex,Wave,BMI_17wk,TC_18wk
DO1353,HF/LC,Male,8,2.8,77.11956522
DO1354,HC/LF,Male,8,2.63,79.17582418
DO1355,HF/LC,Male,8,3.323203607,126.6666667
DO1356,HC/LF,Male,8,2.825484765,61.97916667
DO1357,HF/LC,Male,8,3.52,73.63157895
DO1358,HC/LF,Male,8,2.81603918,95
DO1359,HF/LC,Male,8,2.85,76.04395604
DO1360,HC/LF,Male,8,2.681440443,96.30434783
DO1361,HF/LC,Male,8,4.353741497,95.93406593
DO1362,HC/LF,Female,9,2.530864198,41.59340659
DO1363,HF/LC,Female,9,2.873894656,103.6813187
DO1364,HC/LF,Female,9,2.43,100.1666667
DO1365,HF/LC,Female,9,2.422022684,64.1011236
DO1366,HC/LF,Female,9,2.759266972,58.47826087
DO1367,HF/LC,Female,9,2.44,122.2159091
DO1368,HC/LF,Female,9,2.723524306,61.37362637
DO1369,HF/LC,Female,9,2.455096185,97.52808989
DO1370,HC/LF,Female,9,2.520522604,59.57446809
DO1371,HF/LC,Female,9,2.176176593,66.44444444
DO1372,HC/LF,Female,9,2.623906706,60.96774194
DO1374,HC/LF,Female,9,2.540121161,57
DO1375,HF/LC,Female,9,2.185185185,61.89473684
DO1376,HC/LF,Female,9,2.666666667,78.07692308
DO1377,HF/LC,Female,9,2.788628472,70.11111111
DO1378,HC/LF,Female,9,2.316090195,64
DO1380,HC/LF,Female,9,2.480149005,87.34375
DO1381,HF/LC,Female,9,2.290712203,81.93548387
DO1382,HC/LF,Female,9,2.405247813,52.78947368
DO1383,HF/LC,Female,9,2.581369248,132.5824176
DO1384,HC/LF,Female,9,2.869806094,67.95454545
DO1385,HF/LC,Female,9,2.376641014,80.6043956
DO1386,HC/LF,Female,9,2.557718425,72.35955056
DO1387,HF/LC,Female,9,2.720799235,82.03296703
DO1388,HC/LF,Female,9,2.969177114,35.10638298
DO1389,HF/LC,Female,9,2.26,92.68817204
DO1390,HC/LF,Female,9,2.736842105,43.26086957
DO1391,HF/LC,Female,9,2.462712452,74.20212766
DO1392,HC/LF,Female,9,2.467179719,49.18478261
DO1393,HF/LC,Female,9,2.967513536,78.95604396
DO1394,HC/LF,Female,9,2.185185185,65.98958333
DO1395,HF/LC,Female,9,2.95382526,99.44444444
DO1396,HC/LF,Female,9,2.670891806,64.12087912
DO1397,HF/LC,Female,9,2.79,128.8541667
DO1398,HC/LF,Female,9,2.295674354,63.13829787
DO1399,HF/LC,Female,9,2.68,88.36956522
DO1400,HC/LF,Female,9,2.43,103.3707865
DO1401,HF/LC,Female,9,2.401955574,129.5744681
DO1402,HC/LF,Female,9,2.178765012,54.03225806
DO1403,HF/LC,Female,9,2.833055583,92.1978022
DO1404,HC/LF,Female,9,2.65514369,81.70212766
DO1405,HF/LC,Female,9,2.446897126,71.48351648
DO1406,HC/LF,Female,9,2.887460463,59.48863636
DO1407,HF/LC,Female,9,3.112267995,63.4375
DO1408,HC/LF,Female,9,2.540121161,64.04494382
DO1409,HF/LC,Female,9,2.757369615,
DO1410,HC/LF,Female,9,2.874049028,105.6593407
DO1411,HF/LC,Female,9,2.862464464,54.13043478
DO1412,HC/LF,Male,9,3.595585618,93.20652174
DO1413,HF/LC,Male,9,2.98009999,123.258427
DO1414,HC/LF,Male,9,2.62962963,92.61363636
DO1415,HF/LC,Male,9,3.808087473,80.11363636
DO1416,HC/LF,Male,9,2.842565598,93.35164835
DO1417,HF/LC,Male,9,3.2,65.71428571
DO1418,HC/LF,Male,9,3.338614758,52.47311828
DO1419,HF/LC,Male,9,3.72,116.576087
DO1420,HC/LF,Male,9,3.009896949,80.4494382
DO1421,HF/LC,Male,9,4.14,79.20454545
DO1422,HC/LF,Male,9,3.248646397,66.05555556
DO1423,HF/LC,Male,9,3.33,151.043956
DO1424,HC/LF,Male,9,3.572438496,96.82291667
DO1425,HF/LC,Male,9,3.482993197,76.41304348
DO1426,HC/LF,Male,9,4.164931279,107.9891304
DO1427,HF/LC,Male,9,3.963718821,100
DO1428,HC/LF,Male,9,3.342013889,84.51086957
DO1429,HF/LC,Male,9,3.645429363,106.344086
DO1430,HC/LF,Male,9,3.732638889,97.41573034
DO1431,HF/LC,Male,9,3.236758714,85.38461538
DO1432,HC/LF,Male,9,2.918069585,91.0326087
DO1433,HF/LC,Male,9,3.396267361,101.9444444
DO1434,HC/LF,Male,9,2.914127424,68.68131868
DO1435,HF/LC,Male,9,2.7696793,96.62921348
DO1436,HC/LF,Male,9,3.342357351,49.72527473
DO1437,HF/LC,Male,9,4,102.7222222
DO1438,HC/LF,Male,9,2.880221065,97.55208333
DO1439,HF/LC,Male,9,2.723524306,97.39361702
DO1440,HC/LF,Male,9,3.42,116.25
DO1441,HF/LC,Male,9,3.119092628,92.69230769
DO1442,HC/LF,Male,9,2.94933432,98.46153846
DO1443,HF/LC,Male,9,2.76,63.77777778
DO1444,HC/LF,Male,9,3.716715976,80
DO1445,HF/LC,Male,9,3.79138322,145.0555556
DO1446,HC/LF,Male,9,3.06122449,107.967033
DO1447,HF/LC,Male,9,3.42,117.34375
DO1448,HC/LF,Male,9,2.704843821,74.78723404
DO1449,HF/LC,Male,9,2.886284722,87.28723404
DO1450,HC/LF,Male,9,3.274188805,354.9438202
DO1451,HF/LC,Male,9,3.355641437,96.52173913
DO1452,HC/LF,Male,9,2.915451895,98.33333333
DO1453,HF/LC,Male,9,4.234467456,115.4494382
DO1454,HC/LF,Male,9,3.809171598,129.2613636
DO1455,HF/LC,Male,9,3.764172336,123.4269663
